ID	 Amount of the given credit	Gender	 Education	Marital status 	 Age	History of past payment1	Amount of bill statement1	Amount of previous payment 1	default payment next month
1	20000	2	2	1	24	2	3913	0	1
2	120000	2	2	2	26	-1	2682	0	1
3	90000	2	2	2	34	0	29239	1518	0
4	50000	2	2	1	37	0	46990	2000	0
5	50000	1	2	1	57	-1	8617	2000	0
6	50000	1	1	2	37	0	64400	2500	0
7	500000	1	1	2	29	0	367965	55000	0
8	100000	2	2	2	23	0	11876	380	0
9	140000	2	3	1	28	0	11285	3329	0
10	20000	1	3	2	35	-2	0	0	0
11	200000	2	3	2	34	0	11073	2306	0
12	260000	2	1	2	51	-1	12261	21818	0
13	630000	2	2	2	41	-1	12137	1000	0
14	70000	1	2	2	30	1	65802	3200	1
15	250000	1	1	2	29	0	70887	3000	0
16	50000	2	3	3	23	1	50614	0	0
17	20000	1	1	2	24	0	15376	3200	1
18	320000	1	1	1	49	0	253286	10358	0
19	360000	2	1	1	49	1	0	0	0
20	180000	2	1	2	29	1	0	0	0
21	130000	2	3	2	39	0	38358	3000	0
22	120000	2	2	1	39	-1	316	316	1
23	70000	2	2	2	26	2	41087	2007	1
24	450000	2	1	1	40	-2	5512	19428	1
25	90000	1	1	2	23	0	4744	5757	0
26	50000	1	3	2	23	0	47620	1973	0
27	60000	1	1	2	27	1	-109	0	1
28	50000	2	3	2	30	0	22541	1300	0
29	50000	2	3	1	47	-1	650	3415	0
30	50000	1	1	2	26	0	15329	1500	0
31	230000	2	1	2	27	-1	16646	17270	0
32	50000	1	2	2	33	2	30518	1718	1
33	100000	1	1	2	32	0	93036	3023	0
34	500000	2	2	1	54	-2	10929	4152	0
35	500000	1	1	1	58	-2	13709	5006	0
36	160000	1	1	2	30	-1	30265	131	0
37	280000	1	2	1	40	0	186503	8026	0
38	60000	2	2	2	22	0	15054	1500	0
39	50000	1	1	2	25	1	0	780	1
40	280000	1	1	2	31	-1	498	9075	0
41	360000	1	1	2	33	0	218668	10000	0
42	70000	2	1	2	25	0	67521	3000	0
43	10000	1	2	2	22	0	1877	1500	0
44	140000	2	2	1	37	0	59504	3000	0
45	40000	2	1	2	30	0	18927	3000	0
46	210000	1	1	2	29	-2	0	0	1
47	20000	2	1	2	22	0	14028	3000	1
48	150000	2	5	2	46	0	4463	1013	1
49	380000	1	2	2	32	-1	22401	21540	0
50	20000	1	1	2	24	0	17447	1318	0
51	70000	1	3	2	42	1	37042	0	1
52	100000	2	3	3	43	0	61559	2000	0
53	310000	2	2	1	49	-2	13465	7875	0
54	180000	2	1	2	25	1	41402	1300	0
55	150000	2	1	2	29	2	46224	1600	0
56	500000	2	1	1	45	-2	1905	3640	0
57	180000	2	3	1	34	0	16386	8500	0
58	180000	2	2	1	34	0	175886	8083	0
59	200000	2	1	2	34	-1	1587	0	0
60	400000	2	2	1	29	0	400134	17000	0
61	500000	2	3	1	28	0	22848	1516	1
62	70000	1	2	1	39	0	70800	4025	0
63	50000	1	1	2	29	2	24987	0	1
64	50000	2	2	1	46	0	28718	1000	1
65	130000	2	2	1	51	-1	99	0	0
